petal_length,sepal_width,class
4.7000000000000002,3.2000000000000002,1
4.5,3.2000000000000002,1
4.9000000000000004,3.1000000000000001,1
4.0,2.2999999999999998,1
4.5999999999999996,2.7999999999999998,1
4.5,2.7999999999999998,1
4.7000000000000002,3.2999999999999998,1
3.2999999999999998,2.3999999999999999,1
4.5999999999999996,2.8999999999999999,1
3.8999999999999999,2.7000000000000002,1
3.5,2.0,1
4.2000000000000002,3.0,1
4.0,2.2000000000000002,1
4.7000000000000002,2.8999999999999999,1
3.6000000000000001,2.8999999999999999,1
4.4000000000000004,3.1000000000000001,1
4.5,3.0,1
4.0999999999999996,2.7000000000000002,1
4.5,2.2000000000000002,1
3.8999999999999999,2.5,1
4.7999999999999998,3.2000000000000002,1
4.0,2.7999999999999998,1
4.9000000000000004,2.5,1
4.7000000000000002,2.7999999999999998,1
4.2999999999999998,2.8999999999999999,1
4.4000000000000004,3.0,1
4.7999999999999998,2.7999999999999998,1
5.0,3.0,1
4.5,2.8999999999999999,1
3.5,2.6000000000000001,1
3.7999999999999998,2.3999999999999999,1
3.7000000000000002,2.3999999999999999,1
3.8999999999999999,2.7000000000000002,1
5.0999999999999996,2.7000000000000002,1
4.5,3.0,1
4.5,3.3999999999999999,1
4.7000000000000002,3.1000000000000001,1
4.4000000000000004,2.2999999999999998,1
4.0999999999999996,3.0,1
4.0,2.5,1
4.4000000000000004,2.6000000000000001,1
4.5999999999999996,3.0,1
4.0,2.6000000000000001,1
3.2999999999999998,2.2999999999999998,1
4.2000000000000002,2.7000000000000002,1
4.2000000000000002,3.0,1
4.2000000000000002,2.8999999999999999,1
4.2999999999999998,2.8999999999999999,1
3.0,2.5,1
4.0999999999999996,2.7999999999999998,1
6.0,3.2999999999999998,2
5.0999999999999996,2.7000000000000002,2
5.9000000000000004,3.0,2
5.5999999999999996,2.8999999999999999,2
5.7999999999999998,3.0,2
6.5999999999999996,3.0,2
4.5,2.5,2
6.2999999999999998,2.8999999999999999,2
5.7999999999999998,2.5,2
6.0999999999999996,3.6000000000000001,2
5.0999999999999996,3.2000000000000002,2
5.2999999999999998,2.7000000000000002,2
5.5,3.0,2
5.0,2.5,2
5.0999999999999996,2.7999999999999998,2
5.2999999999999998,3.2000000000000002,2
5.5,3.0,2
6.7000000000000002,3.7999999999999998,2
6.9000000000000004,2.6000000000000001,2
5.0,2.2000000000000002,2
5.7000000000000002,3.2000000000000002,2
4.9000000000000004,2.7999999999999998,2
6.7000000000000002,2.7999999999999998,2
4.9000000000000004,2.7000000000000002,2
5.7000000000000002,3.2999999999999998,2
6.0,3.2000000000000002,2
4.7999999999999998,2.7999999999999998,2
4.9000000000000004,3.0,2
5.5999999999999996,2.7999999999999998,2
5.7999999999999998,3.0,2
6.0999999999999996,2.7999999999999998,2
6.4000000000000004,3.7999999999999998,2
5.5999999999999996,2.7999999999999998,2
5.0999999999999996,2.7999999999999998,2
5.5999999999999996,2.6000000000000001,2
6.0999999999999996,3.0,2
5.5999999999999996,3.3999999999999999,2
5.5,3.1000000000000001,2
4.7999999999999998,3.0,2
5.4000000000000004,3.1000000000000001,2
5.5999999999999996,3.1000000000000001,2
5.0999999999999996,3.1000000000000001,2
5.0999999999999996,2.7000000000000002,2
5.9000000000000004,3.2000000000000002,2
5.7000000000000002,3.2999999999999998,2
5.2000000000000002,3.0,2
5.0,2.5,2
5.2000000000000002,3.0,2
5.4000000000000004,3.3999999999999999,2
5.0999999999999996,3.0,2
